waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,year,recycling_rate
Construction& Demolition,1624000,1618000,2018,1.0
Ferrous Metal,1269000,126000,2018,0.1
Paper/Cardboard,1054000,586000,2018,0.56
Plastics,949000,41000,2018,0.04
Food,763000,126000,2018,0.17
Wood,521000,428000,2018,0.82
Horticultural,320000,227000,2018,0.71
Ash & Sludge,240000,25000,2018,0.1
Textile/Leather,220000,14000,2018,0.06
Used Slag,181000,179000,2018,0.99
Non-Ferrous Metal,171000,170000,2018,0.99
Glass,64000,12000,2018,0.19
Scrap Tyres,32000,29000,2018,0.91
"Others (stones, ceramic, rubber, ect)",286000,11000,2018,0.04
Overall,7695000,4726000,2018,0.61
Construction& Demolition,1440000,1434000,2019,1.0
Ferrous Metal,1278000,1270000,2019,0.99
Paper/Cardboard,1011000,449000,2019,0.44
Plastics,930000,37000,2019,0.04
Food,7440000,136000,2019,0.02
Wood,438000,289000,2019,0.66
Horticultural,400000,293000,2019,0.73
Ash & Sludge,252000,25000,2019,0.1
Textile/Leather,168000,6000,2019,0.04
Used Slag,129000,127000,2019,0.98
Non-Ferrous Metal,126000,124000,2019,0.98
Glass,75000,11000,2019,0.15
Scrap Tyres,33000,31000,2019,0.94
"Others (stones, ceramic, rubber, ect)",210000,15000,2019,0.07
Overall,7234000,4247000,2019,0.59
Paper/Cardboard,1144000,432000,2020,0.38
Ferrous metal,934000,930000,2020,1.0
Plastics,868000,36000,2020,0.04
Construction & Demolition,825000,822000,2020,1.0
Food,665000,126000,2020,0.19
Horticultural,313000,249000,2020,0.8
Wood,304000,195000,2020,0.64
Ash & sludge,228000,16000,2020,0.07
Textile/Leather,137000,6000,2020,0.04
Used slag,106000,104000,2020,0.98
Non-ferrous metal,75000,73000,2020,0.97
Glass,66000,7000,2020,0.11
Scrap tyres,23000,22000,2020,0.96
"Others (stones, ceramics, etc.)",193000,21000,2020,0.11
Overall,5880000,3040000,2020,0.52
