waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,year,recycling_rate,material,energy_saved,crude_oil_saved,total_energy_saved
Glass,65500,6200.0,2003,0.09,Glass,42,0.12 barrels,260400.0
Plastic,579900,39100.0,2003,0.07,Plastic,5774,16 barrels,225763400.0
Paper,1084700,466200.0,2003,0.43,Paper,4100,11 barrels,1911420000.0
Plastic,683100,74100.0,2004,0.11,Plastic,5774,16 barrels,427853400.0
Paper,1132100,519900.0,2004,0.46,Paper,4100,11 barrels,2131590000.0
Glass,73600,4900.0,2004,0.07,Glass,42,0.12 barrels,205800.0
Glass,62600,3800.0,2005,0.06,Glass,42,0.12 barrels,159600.0
Paper,1098600,540500.0,2005,0.49,Paper,4100,11 barrels,2216050000.0
Plastic,674800,86000.0,2005,0.13,Plastic,5774,16 barrels,496564000.0
Plastic,656800,77800.0,2006,0.12,Plastic,5774,16 barrels,449217200.0
Paper,1116300,571400.0,2006,0.51,Paper,4100,11 barrels,2342740000.0
Glass,63000,6400.0,2006,0.1,Glass,42,0.12 barrels,268800.0
Paper,1202900,619000.0,2007,0.51,Paper,4100,11 barrels,2537900000.0
Plastic,659800,75000.0,2007,0.11,Plastic,5774,16 barrels,433050000.0
Ferrous Metal,736500,668000.0,2007,0.91,Ferrous Metal,642,1.8 barrels,428856000.0
Glass,65300,5800.0,2007,0.09,Glass,42,0.12 barrels,243600.0
Paper,1262500,608600.0,2008,0.48,Paper,4100,11 barrels,2495260000.0
Plastic,684400,61200.0,2008,0.09,Plastic,5774,16 barrels,353368800.0
Glass,57100,10000.0,2008,0.18,Glass,42,0.12 barrels,420000.0
Ferrous Metal,784800,735000.0,2008,0.94,Ferrous Metal,642,1.8 barrels,471870000.0
Paper,1201000,574200.0,2009,0.48,Paper,4100,11 barrels,2354220000.0
Plastic,688900,60300.0,2009,0.09,Plastic,5774,16 barrels,348172200.0
Ferrous Metal,872000,806200.0,2009,0.92,Ferrous Metal,642,1.8 barrels,517580400.0
Glass,73100,15600.0,2009,0.21,Glass,42,0.12 barrels,655200.0
Paper,1383900,738200.0,2010,0.53,Paper,4100,11 barrels,3026620000.0
Plastic,740400,78100.0,2010,0.11,Plastic,5774,16 barrels,450949400.0
Ferrous Metal,1194600,1127500.0,2010,0.94,Ferrous Metal,642,1.8 barrels,723855000.0
Glass,79900,19200.0,2010,0.24,Glass,42,0.12 barrels,806400.0
Glass,72800,21400.0,2011,0.29,Glass,42,0.12 barrels,898800.0
Plastic,733000,77000.0,2011,0.11,Plastic,5774,16 barrels,444598000.0
Paper,1368200,765000.0,2011,0.56,Paper,4100,11 barrels,3136500000.0
Ferrous Metal,1239200,1171600.0,2011,0.95,Ferrous Metal,642,1.8 barrels,752167200.0
Paper,1252000,696700.0,2012,0.56,Paper,4100,11 barrels,2856470000.0
Plastic,803400,82100.0,2012,0.1,Plastic,5774,16 barrels,474045400.0
Ferrous Metal,1386000,1331200.0,2012,0.96,Ferrous Metal,642,1.8 barrels,854630400.0
Glass,74900,19500.0,2012,0.26,Glass,42,0.12 barrels,819000.0
Paper,1261100,679400.0,2013,0.54,Paper,4100,11 barrels,2785540000.0
Plastic,832200,91100.0,2013,0.11,Plastic,5774,16 barrels,526011400.0
Ferrous Metal,1416000,1369200.0,2013,0.97,Ferrous Metal,642,1.8 barrels,879026400.0
Glass,73500,14600.0,2013,0.2,Glass,42,0.12 barrels,613200.0
Paper,1237400,646500.0,2014,0.52,Paper,4100,11 barrels,2650650000.0
Ferrous Metal,1445900,1388900.0,2014,0.96,Ferrous Metal,642,1.8 barrels,891673800.0
Plastic,869000,80000.0,2014,0.09,Plastic,5774,16 barrels,461920000.0
Glass,79500,15700.0,2014,0.2,Glass,42,0.12 barrels,659400.0
Non-Ferrous Metal,118400,94700.0,2014,0.8,Non-Ferrous Metal,14000,40 barrels,1325800000.0
Paper,1192200,603700.0,2015,0.51,Paper,4100,11 barrels,2475170000.0
Plastic,824600,57800.0,2015,0.07,Plastic,5774,16 barrels,333737200.0
Glass,75200,14600.0,2015,0.19,Glass,42,0.12 barrels,613200.0
Non-Ferrous Metal,180000,160400.0,2015,0.89,Non-Ferrous Metal,14000,40 barrels,2245600000.0
Ferrous Metal,1348500,1333300.0,2015,0.99,Ferrous Metal,642,1.8 barrels,855978600.0
Paper,1183100,607100.0,2016,0.51,Paper,4100,11 barrels,2489110000.0
Plastic,822200,59500.0,2016,0.07,Plastic,5774,16 barrels,343553000.0
Ferrous Metal,1357500,1351500.0,2016,0.99,Ferrous Metal,642,1.8 barrels,867663000.0
Non-Ferrous Metal,97200,95900.0,2016,0.99,Non-Ferrous Metal,14000,40 barrels,1342600000.0
Glass,72300,14700.0,2016,0.2,Glass,42,0.12 barrels,617400.0
Ferrous Metal,1378800,1371000.0,2017,0.99,Ferrous Metal,642,1.8 barrels,880182000.0
Non-Ferrous Metal,93700,92200.0,2017,0.98,Non-Ferrous Metal,14000,40 barrels,1290800000.0
Paper,1144800,568800.0,2017,0.5,Paper,4100,11 barrels,2332080000.0
Glass,71300,12400.0,2017,0.17,Glass,42,0.12 barrels,520800.0
Plastic,815200,51800.0,2017,0.06,Plastic,5774,16 barrels,299093200.0
Non-Ferrous Metal,171000,170000.0,2018,0.99,Non-Ferrous Metal,14000,40 barrels,2380000000.0
Plastic,949000,41000.0,2018,0.04,Plastic,5774,16 barrels,236734000.0
Paper,1054000,586000.0,2018,0.56,Paper,4100,11 barrels,2402600000.0
Ferrous Metal,1269000,1260000.0,2018,0.1,Ferrous Metal,642,1.8 barrels,808920000.0
Glass,64000,12000.0,2018,0.19,Glass,42,0.12 barrels,504000.0
Ferrous Metal,1278000,1270000.0,2019,0.99,Ferrous Metal,642,1.8 barrels,815340000.0
Paper,1011000,449000.0,2019,0.44,Paper,4100,11 barrels,1840900000.0
Plastic,930000,37000.0,2019,0.04,Plastic,5774,16 barrels,213638000.0
Non-Ferrous Metal,126000,124000.0,2019,0.98,Non-Ferrous Metal,14000,40 barrels,1736000000.0
Glass,75000,11000.0,2019,0.15,Glass,42,0.12 barrels,462000.0
Glass,66000,7000.0,2020,0.11,Glass,42,0.12 barrels,294000.0
Non-Ferrous Metal,75000,73000.0,2020,0.97,Non-Ferrous Metal,14000,40 barrels,1022000000.0
Plastic,868000,36000.0,2020,0.04,Plastic,5774,16 barrels,207864000.0
Ferrous Metal,934000,930000.0,2020,1.0,Ferrous Metal,642,1.8 barrels,597060000.0
Paper,1144000,432000.0,2020,0.38,Paper,4100,11 barrels,1771200000.0
